,Land_class,x,y,ID,pres,sex,age,status,country,year,season,region
1,Arable (non-irrigated),3426618.806,2230156.519,X9EC36811,1,male,adult,migrant,france,1,winter,fs
2,Arable (non-irrigated),3414378.58,2225343.6,X9EC36811,1,male,adult,migrant,france,1,winter,fs
3,Agriculture/natural vegetation,3399721.257,2212167.444,X9EC36811,1,male,adult,migrant,france,1,winter,fs
4,Inland water,3392120.841,2202455.967,X9EC36811,1,male,adult,migrant,france,1,winter,fs
5,Arable (non-irrigated),3392650.005,2202352.672,X9EC36811,1,male,adult,migrant,france,1,winter,fs
6,"Natural grasslands, heath and scrub",3395651.666,2206556.631,X9EC36811,1,male,adult,migrant,france,1,winter,fs
7,Inland marshes and bogs,3393180.116,2202583.579,X9EC36811,1,male,adult,migrant,france,1,winter,fs
8,Arable (non-irrigated),3394744.883,2202946.292,X9EC36811,1,male,adult,migrant,france,1,winter,fs
9,"Natural grasslands, heath and scrub",3392700.847,2203498.541,X9EC36811,1,male,adult,migrant,france,1,winter,fs
10,Arable (non-irrigated),3393546.24,2203003.713,X9EC36811,1,male,adult,migrant,france,1,winter,fs
11,Arable (non-irrigated),3394831.917,2203508.704,X9EC36811,1,male,adult,migrant,france,1,winter,fs
12,"Natural grasslands, heath and scrub",3396609.607,2207664.548,X9EC36811,1,male,adult,migrant,france,1,winter,fs
13,"Natural grasslands, heath and scrub",3400468.892,2207159.992,X9EC36811,1,male,adult,migrant,france,1,winter,fs
14,Woodland,3394369.877,2210148.948,X9EC36811,1,male,adult,migrant,france,1,winter,fs
15,Arable (non-irrigated),3398481.57,2203536.045,X9EC36811,1,male,adult,migrant,france,1,winter,fs
16,Arable (non-irrigated),3394287.733,2198912.553,X9EC36811,1,male,adult,migrant,france,1,winter,fs
17,Arable (non-irrigated),3396879.653,2200861.135,X9EC36811,1,male,adult,migrant,france,1,winter,fs
18,Arable (non-irrigated),3397264.633,2197298.187,X9EC36811,1,male,adult,migrant,france,1,winter,fs
19,Arable (non-irrigated),3381747.873,2178700.458,X9EC36811,1,male,adult,migrant,france,1,winter,fs
20,Arable (irrigated),3397132.561,2181506.811,X9EC36811,1,male,adult,migrant,france,1,winter,fs
21,"Natural grasslands, heath and scrub",3400337.086,2178596.792,X9EC36811,1,male,adult,migrant,france,1,winter,fs
22,Arable (irrigated),3401044.398,2175738.967,X9EC36811,1,male,adult,migrant,france,1,winter,fs
23,Arable (irrigated),3400912.757,2175624.281,X9EC36811,1,male,adult,migrant,france,1,winter,fs
24,Arable (irrigated),3400721.777,2174189.993,X9EC36811,1,male,adult,migrant,france,1,winter,fs
25,Arable (irrigated),3400516.959,2176385.305,X9EC36811,1,male,adult,migrant,france,1,winter,fs
26,Arable (irrigated),3401735.292,2172947.171,X9EC36811,1,male,adult,migrant,france,1,winter,fs
27,Arable (irrigated),3397408.044,2169738.659,X9EC36811,1,male,adult,migrant,france,1,winter,fs
28,Arable (irrigated),3387763.099,2169902.864,X9EC36811,1,male,adult,migrant,france,1,winter,fs
29,Woodland,3391824.42,2168880.364,X9EC36811,1,male,adult,migrant,france,1,winter,fs
30,Arable (irrigated),3391988.223,2168621.712,X9EC36811,1,male,adult,migrant,france,1,winter,fs
31,Rice fields,3392778.585,2171100.369,X9EC36811,1,male,adult,migrant,france,1,winter,fs
32,Arable (irrigated),3389977.639,2165683.094,X9EC36811,1,male,adult,migrant,france,1,winter,fs
33,Arable (irrigated),3391462.873,2168410.734,X9EC36811,1,male,adult,migrant,france,1,winter,fs
34,"Natural grasslands, heath and scrub",3393467.827,2169296.037,X9EC36811,1,male,adult,migrant,france,1,winter,fs
35,Arable (irrigated),3391720.546,2168746.349,X9EC36811,1,male,adult,migrant,france,1,winter,fs
36,Woodland,3392428.256,2171403.088,X9EC36811,1,male,adult,migrant,france,1,winter,fs
37,Arable (irrigated),3390210.677,2167516.358,X9EC36811,1,male,adult,migrant,france,1,winter,fs
38,Arable (irrigated),3389918.532,2166201.935,X9EC36811,1,male,adult,migrant,france,1,winter,fs
39,Arable (irrigated),3391368.123,2168412.645,X9EC36811,1,male,adult,migrant,france,1,winter,fs
40,Arable (irrigated),3389935.95,2166908.764,X9EC36811,1,male,adult,migrant,france,1,winter,fs
41,Arable (irrigated),3392276.239,2169235.954,X9EC36811,1,male,adult,migrant,france,1,winter,fs
42,Arable (irrigated),3392082.153,2169226.627,X9EC36811,1,male,adult,migrant,france,1,winter,fs
43,Arable (irrigated),3392050.737,2169322.127,X9EC36811,1,male,adult,migrant,france,1,winter,fs
44,Arable (irrigated),3391995.32,2169857.578,X9EC36811,1,male,adult,migrant,france,1,winter,fs
